M E_tot E_int S T a b c LL_index
0 12.696302876014936 0.6963028760149359 0.9999999999999998 79.99999999999997 0 0.9999999999999999 0 2
0 12.696302876014936 0.696302876014936 1. 80. 0 0 1.0000000000000002 2
0 12.636619772356237 0.6366197723562381 1.0000000000000004 80.00000000000006 0 1.0000000000000009 0 2
0 12.636619772356237 0.6366197723562378 0.9999999999999998 79.99999999999999 0 0 1. 2
0 12.736091611787325 0.7360916117873255 0 80.00000000000004 0 1.0000000000000009 0 2
0 12.736091611787325 0.7360916117873251 0 80.00000000000001 0 0 1.0000000000000004 2
0 12.795774715446703 0.7957747154467023 0 62.999999999999986 0 1.0000000000000004 1.0000000000000004 2
0 12.795774715445432 0.7957747154454331 0 63.00000000000003 1.0000000000000002 0 0 2
2 12.437676093492755 0.43767609349275477 2. 99.00000000000001 0 0 0 1
2 12.704061641392585 0.7040616413925842 1.0000000000000002 99.00000000000003 0 0 0 2
2 12.648082528164291 0.6480825281642912 1. 99. 0 0 0 2
2 12.54756558263949 0.5475655826394886 1. 98.99999999999999 0 0 0 2
2 12.527403129909473 0.5274031299094722 1. 99. 0 0 0 2
2 12.833776897278781 0.833776897278781 0 99.00000000000001 0 0 0 2
2 12.731889236625461 0.7318892366254615 0 99. 0 0 0 2
2 12.69299408628965 0.6929940862896491 0 99. 0 0 0 2
2 12.612623194306602 0.6126231943066025 0 98.99999999999999 0 0 0 2
2 12.530653494029496 0.5306534940294962 0 98.99999999999993 0 0 0 2
2 12.69630287601401 0.6963028760140105 1. 79.99999999999997 0 1. 0 1
2 12.636619772355042 0.6366197723550419 1. 79.99999999999997 0 1.0000000000000002 0 1
2 12.656514140242646 0.6565141402426458 1.0000000000000002 80.00000000000001 0 0 1.0000000000000004 2
2 12.775880347561142 0.7758803475611412 0 80.00000000000003 0 0 1.0000000000000004 2
2 12.736091611786987 0.7360916117869872 0 79.99999999999994 0 0.9999999999999997 0 1
2 12.79577471544701 0.7957747154470105 0 63.00000000000001 0 2.000000000000001 0 1
4 12.616725404469655 0.6167254044696542 1. 98.99999999999997 0 0 0 1
4 12.537147932923812 0.5371479329238112 1. 99. 0 0 0 1
4 12.748138671636797 0.7481386716367965 0 99.00000000000006 0 0 0 1
4 12.604678344620591 0.6046783446205917 0 99.00000000000001 0 0 0 1
4 12.656514140240953 0.6565141402409529 1.0000000000000002 80.00000000000003 0 1.0000000000000004 0 1
4 12.775880347559044 0.7758803475590444 0 80.00000000000001 0 1.0000000000000002 0 1
6 12.656514140243507 0.6565141402435066 0 99. 0 0 0 0
-7 13.557042300811268 0.5570423008112687 0.9999999999999998 119.99999999999999 0 0 0 3
-7 13.656514140243702 0.6565141402437017 0 98.99999999999999 0 0 1. 3
-5 13.377992989833247 0.3779929898332465 2.0000000000000004 120.00000000000006 0 0 0 3
-5 13.650148937386387 0.6501489373863876 1. 119.99999999999997 0 0 0 4
-5 13.614112812398549 0.614112812398549 1.0000000000000002 120.00000000000006 0 0 0 4
-5 13.59341770268455 0.5934177026845501 1. 119.99999999999999 0 0 0 4
-5 13.481469032225188 0.48146903222518755 0.9999999999999998 119.99999999999993 0 0 0 4
-5 13.48087816316766 0.4808781631676604 1. 120.00000000000003 0 0 0 4
-5 13.735065964522384 0.7350659645223847 0 120.00000000000004 0 0 0 4
-5 13.61672540446905 0.6167254044690511 0 119.99999999999996 0 0 0 4
-5 13.543147172161419 0.543147172161418 0 120. 0 0 0 4
-5 13.616725404470566 0.6167254044705659 1. 98.99999999999997 0 0 1. 4
-5 13.537147932924514 0.5371479329245141 1. 99.00000000000001 0 0 1.0000000000000004 4
-5 13.748138671637207 0.7481386716372068 0 99. 0 0 1.0000000000000004 4
-5 13.656514140242857 0.6565141402428563 0 98.99999999999996 0 1. 0 2
-5 13.604678344622194 0.6046783446221936 0 99.00000000000001 0 0 1.0000000000000007 4
-5 13.656514140243289 0.6565141402432895 1. 79.99999999999999 0 0 2.000000000000001 4
-5 13.775880347561772 0.7758803475617727 0 79.99999999999997 0 0 2.000000000000001 4
