M E_int S T a b c
12 0.40667245084332976 1.0000000000000002 224. 0 1.0000000000000007 0
12 0.3779588020413215 1.0000000000000002 224.00000000000014 0 1.0000000000000004 0
12 0.30009538784397577 0.9999999999999993 223.99999999999986 0 0.9999999999999992 0
12 0.25157209973759964 1.0000000000000002 224. 0 1.0000000000000004 0
12 0.5692002740799896 0 224.0000000000001 0 0.9999999999999998 0
12 0.4856810196865131 0 224. 0 0.9999999999999996 0
12 0.41174534207050323 0 224.00000000000014 0 1.0000000000000007 0
12 0.39225336355661583 0 224.00000000000003 0 0.9999999999999999 0
12 0.308362702240547 1.9999999999999991 194.99999999999986 0 1.9999999999999987 0
12 0.5039579965355186 1.0000000000000002 195. 0 2. 0
12 0.46369173137439534 0.9999999999999998 194.99999999999991 0 1.9999999999999991 0
12 0.3602993285130879 1.0000000000000002 195.00000000000009 0 2.000000000000001 0
12 0.6116625820759923 0 194.99999999999997 0 2. 0
12 0.4929237121308546 0 195.00000000000003 0 2.0000000000000004 0
12 0.45577189002557633 0 195.00000000000009 0 2. 0
12 0.3432841429057937 0 194.99999999999991 0 1.9999999999999993 0
12 0.5397624947321233 1. 167.99999999999991 0 3.0000000000000004 0
12 0.44817771035653436 0.9999999999999998 167.99999999999986 0 2.999999999999999 0
12 0.39223156703637213 1.0000000000000002 168.00000000000003 0 2.9999999999999996 0
12 0.5744498727223094 0 167.99999999999991 0 2.999999999999998 0
12 0.43270250153109036 0 167.99999999999994 0 2.9999999999999982 0
12 0.4824384212473077 1. 143.00000000000003 0 3.999999999999999 0
12 0.6324195462018838 0 143.00000000000009 0 4.000000000000002 0
12 0.47171787149813993 0 143.00000000000003 0 4. 0
12 0.5570423008216336 1. 120.00000000000003 0 5. 0
12 0.6565141402540686 0 99.00000000000009 0 6.000000000000006 0
13 0.29795434616532873 2. 288.00000000000006 0 0 0
13 0.26614517576805746 2. 287.99999999999994 0 0 0
13 0.14961092599433207 2. 288.0000000000001 0 0 0
13 0.5098068678443767 0.9999999999999998 288. 0 0 0
13 0.49513300099311125 1.0000000000000002 287.99999999999994 0 0 0
13 0.4628181200140044 1.0000000000000002 288.00000000000017 0 0 0
13 0.42362697579094866 1.0000000000000004 288.00000000000017 0 0 0
13 0.406637787620685 1.0000000000000002 287.99999999999994 0 0 0
13 0.3986369474803237 1.0000000000000002 288. 0 0 0
